batter,fifties,hundreds,ducks,player_of_match_awards
M Manhas,0.0,0.0,6.0,0.0
M Markande,0.0,0.0,1.0,0.0
M Morkel,0.0,0.0,4.0,2.0
M Muralitharan,0.0,0.0,3.0,2.0
M Ntini,0.0,0.0,1.0,2.0
M Pathirana,0.0,0.0,0.0,2.0
M Prasidh Krishna,0.0,0.0,3.0,3.0
M Rawat,0.0,0.0,1.0,0.0
M Shahrukh Khan,2.0,0.0,3.0,0.0
M Theekshana,0.0,0.0,1.0,0.0
M Tiwari,0.0,0.0,0.0,1.0
M Vijay,13.0,2.0,4.0,6.0
M Vohra,3.0,0.0,3.0,3.0
MA Agarwal,13.0,1.0,7.0,4.0
MA Starc,0.0,0.0,4.0,6.0
MA Wood,0.0,0.0,0.0,1.0
MC Henriques,5.0,0.0,3.0,2.0
MD Choudhary,1.0,0.0,0.0,1.0
MD Mishra,0.0,0.0,1.0,1.0
MD Shanaka,0.0,0.0,1.0,0.0
MDKJ Perera,0.0,0.0,1.0,0.0
MEK Hussey,15.0,1.0,1.0,12.0
MF Maharoof,0.0,0.0,2.0,1.0
MG Johnson,0.0,0.0,3.0,2.0
MJ Guptill,1.0,0.0,1.0,0.0
MJ Lumb,1.0,0.0,3.0,1.0
MJ McClenaghan,0.0,0.0,7.0,2.0
MJ Owen,0.0,0.0,1.0,0.0
MJ Santner,0.0,0.0,4.0,0.0
MK Lomror,1.0,0.0,4.0,0.0
MK Pandey,22.0,1.0,14.0,6.0
MK Tiwary,7.0,0.0,8.0,3.0
ML Hayden,8.0,0.0,1.0,4.0
MM Ali,6.0,0.0,7.0,2.0
MM Patel,0.0,0.0,6.0,2.0
MM Sharma,0.0,0.0,7.0,5.0
MN Samuels,0.0,0.0,1.0,1.0
MN van Wyk,1.0,0.0,1.0,0.0
MP Stoinis,10.0,1.0,10.0,9.0
MP Yadav,0.0,0.0,0.0,2.0
MR Marsh,12.0,2.0,7.0,6.0
MS Bisla,4.0,0.0,3.0,1.0
MS Dhoni,24.0,0.0,8.0,18.0
MS Gony,0.0,0.0,4.0,1.0
MV Boucher,1.0,0.0,0.0,2.0
Mandeep Singh,6.0,0.0,14.0,3.0
Mayank Dagar,0.0,0.0,1.0,0.0
Misbah-ul-Haq,0.0,0.0,2.0,0.0
Mohammad Asif,0.0,0.0,1.0,0.0
Mohammad Nabi,0.0,0.0,1.0,0.0
Mohammed Shami,0.0,0.0,8.0,4.0
Mohammed Siraj,0.0,0.0,5.0,7.0
Mohsin Khan,0.0,0.0,3.0,1.0
Mujeeb Ur Rahman,0.0,0.0,3.0,1.0
Mukesh Choudhary,0.0,0.0,0.0,1.0
Mukesh Kumar,0.0,0.0,2.0,1.0
Musheer Khan,0.0,0.0,1.0,0.0
Mustafizur Rahman,0.0,0.0,3.0,2.0
N Burger,0.0,0.0,0.0,1.0
