season,batting_team,matches_played,total_runs,wickets
2016,Kolkata Knight Riders,15,2263,76
2016,Mumbai Indians,14,2194,84
2016,Rising Pune Supergiants,14,2063,68
2016,Royal Challengers Bangalore,16,2981,71
2016,Sunrisers Hyderabad,17,2673,97
2017,Delhi Daredevils,14,2219,97
2017,Gujarat Lions,14,2412,86
2017,Kings XI Punjab,14,2207,83
2017,Kolkata Knight Riders,16,2484,88
2017,Mumbai Indians,17,2800,108
2017,Rising Pune Supergiant,16,2470,90
2017,Royal Challengers Bangalore,13,1845,97
2017,Sunrisers Hyderabad,14,2349,62
2018,Chennai Super Kings,16,2809,77
2018,Delhi Daredevils,14,2343,75
2018,Kings XI Punjab,14,2210,93
2018,Kolkata Knight Riders,16,2759,104
2018,Mumbai Indians,14,2380,89
2018,Rajasthan Royals,15,2357,99
2018,Royal Challengers Bangalore,14,2322,86
2018,Sunrisers Hyderabad,17,2721,99
2019,Chennai Super Kings,17,2473,88
2019,Delhi Capitals,16,2529,108
2019,Kings XI Punjab,14,2429,74
2019,Kolkata Knight Riders,14,2473,79
2019,Mumbai Indians,16,2670,92
2019,Rajasthan Royals,14,2194,76
2019,Royal Challengers Bangalore,14,2208,84
2019,Sunrisers Hyderabad,15,2458,84
2020,Chennai Super Kings,14,2191,67
2020,Delhi Capitals,17,2780,105
2020,Kings XI Punjab,14,2357,76
2020,Kolkata Knight Riders,14,2222,96
2020,Mumbai Indians,16,2758,77
2020,Rajasthan Royals,14,2288,90
2020,Royal Challengers Bangalore,15,2289,79
2020,Sunrisers Hyderabad,16,2531,87
2021,Chennai Super Kings,16,2733,81
2021,Delhi Capitals,16,2495,78
2021,Kolkata Knight Riders,17,2559,105
2021,Mumbai Indians,14,2117,95
2021,Punjab Kings,14,2150,81
2021,Rajasthan Royals,14,2196,95
2021,Royal Challengers Bangalore,15,2303,90
2021,Sunrisers Hyderabad,14,2084,92
2022,Chennai Super Kings,14,2288,88
2022,Delhi Capitals,14,2341,81
2022,Gujarat Titans,16,2663,82
2022,Kolkata Knight Riders,14,2223,104
2022,Lucknow Super Giants,15,2548,89
2022,Mumbai Indians,14,2217,94
2022,Punjab Kings,14,2343,99
2022,Rajasthan Royals,17,2943,97
2022,Royal Challengers Bangalore,16,2632,98
2022,Sunrisers Hyderabad,14,2197,80
2023,Chennai Super Kings,15,2712,79
2023,Delhi Capitals,14,2182,104
2023,Gujarat Titans,17,3054,86
2023,Kolkata Knight Riders,14,2463,97
2023,Lucknow Super Giants,15,2479,103
2023,Mumbai Indians,16,2945,94
2023,Punjab Kings,14,2556,99
2023,Rajasthan Royals,14,2419,84
2023,Royal Challengers Bangalore,14,2502,80
2023,Sunrisers Hyderabad,14,2376,90
2024,Chennai Super Kings,14,2524,77
2024,Delhi Capitals,14,2573,94
2024,Gujarat Titans,12,2040,79
2024,Kolkata Knight Riders,14,2667,76
2024,Lucknow Super Giants,14,2483,84
2024,Mumbai Indians,14,2568,96
2024,Punjab Kings,14,2487,92
2024,Rajasthan Royals,15,2647,81
2024,Royal Challengers Bengaluru,15,2930,99
2024,Sunrisers Hyderabad,16,3052,105
2025,Chennai Super Kings,14,2441,95
2025,Delhi Capitals,14,2500,88
2025,Gujarat Titans,15,2892,78
2025,Kolkata Knight Riders,13,2002,82
2025,Lucknow Super Giants,14,2732,82
2025,Mumbai Indians,16,2912,86
2025,Punjab Kings,18,3262,103
2025,Rajasthan Royals,14,2614,94
2025,Royal Challengers Bengaluru,15,2653,82
2025,Sunrisers Hyderabad,13,2519,83
2026,Chennai Super Kings,14,2530,84
2026,Delhi Capitals,14,2559,87
2026,Gujarat Titans,17,3094,91
2026,Kolkata Knight Riders,14,2313,77
2026,Lucknow Super Giants,14,2512,95
2026,Mumbai Indians,14,2553,90
2026,Punjab Kings,13,2711,74
2026,Rajasthan Royals,16,3076,99
2026,Royal Challengers Bengaluru,16,3057,84
2026,Sunrisers Hyderabad,15,3050,101
