match_id,batting_team,total_runs,wickets
501236,Chennai Super Kings,165,5
501236,Deccan Chargers,146,8
501237,Kings XI Punjab,136,8
501237,Mumbai Indians,159,5
501238,Delhi Daredevils,140,6
501238,Kochi Tuskers Kerala,141,3
501239,Deccan Chargers,149,6
501239,Kolkata Knight Riders,169,4
501240,Chennai Super Kings,149,2
501240,Rajasthan Royals,147,6
501241,Mumbai Indians,160,7
501241,Pune Warriors,139,7
501242,Kochi Tuskers Kerala,156,5
501242,Kolkata Knight Riders,139,7
501243,Deccan Chargers,175,5
501243,Delhi Daredevils,179,6
501244,Kings XI Punjab,120,9
501244,Royal Challengers Bangalore,205,6
501245,Chennai Super Kings,114,4
501245,Kolkata Knight Riders,61,2
501246,Delhi Daredevils,146,10
501246,Mumbai Indians,178,4
501247,Kochi Tuskers Kerala,125,9
501247,Royal Challengers Bangalore,128,1
501248,Kings XI Punjab,119,8
501248,Pune Warriors,120,5
501249,Chennai Super Kings,196,3
501249,Rajasthan Royals,133,10
501250,Deccan Chargers,136,8
501250,Pune Warriors,137,4
501251,Kings XI Punjab,163,8
501251,Mumbai Indians,87,10
501252,Rajasthan Royals,146,6
501252,Royal Challengers Bangalore,151,1
501253,Chennai Super Kings,176,4
501253,Delhi Daredevils,158,6
501254,Kings XI Punjab,181,4
501254,Kochi Tuskers Kerala,178,7
501255,Kolkata Knight Riders,89,4
501255,Royal Challengers Bangalore,105,6
501256,Deccan Chargers,135,6
501256,Mumbai Indians,125,8
501257,Delhi Daredevils,141,8
501257,Kings XI Punjab,170,6
501258,Kochi Tuskers Kerala,98,2
501258,Rajasthan Royals,97,10
501259,Deccan Chargers,138,4
501259,Pune Warriors,136,9
501260,Kings XI Punjab,232,2
501260,Royal Challengers Bangalore,121,10
501261,Chennai Super Kings,152,5
501261,Kochi Tuskers Kerala,141,5
501262,Kolkata Knight Riders,119,3
501262,Pune Warriors,118,7
501263,Mumbai Indians,133,5
501263,Rajasthan Royals,134,0
501264,Deccan Chargers,198,2
501264,Kings XI Punjab,116,10
501265,Delhi Daredevils,56,3
501266,Chennai Super Kings,128,8
501266,Royal Challengers Bangalore,129,2
501267,Kolkata Knight Riders,175,7
501267,Mumbai Indians,178,5
501268,Chennai Super Kings,177,4
501268,Royal Challengers Bangalore,175,4
501269,Kolkata Knight Riders,147,7
501269,Mumbai Indians,148,6
501270,Mumbai Indians,142,8
501270,Royal Challengers Bangalore,185,4
501271,Chennai Super Kings,205,5
501271,Royal Challengers Bangalore,147,8
548306,Chennai Super Kings,112,10
548306,Mumbai Indians,115,3
548307,Delhi Daredevils,100,2
548307,Kolkata Knight Riders,97,9
548308,Mumbai Indians,101,9
548308,Pune Warriors,129,9
548309,Kings XI Punjab,160,9
548309,Rajasthan Royals,191,4
548310,Delhi Daredevils,137,7
548310,Royal Challengers Bangalore,157,8
548311,Chennai Super Kings,193,6
548311,Deccan Chargers,119,10
548312,Kolkata Knight Riders,142,10
548312,Rajasthan Royals,164,5
548313,Kings XI Punjab,144,8
548313,Pune Warriors,166,6
548314,Deccan Chargers,138,9
548314,Mumbai Indians,142,5
548315,Kolkata Knight Riders,165,8
548315,Royal Challengers Bangalore,123,9
548316,Chennai Super Kings,110,8
548316,Delhi Daredevils,111,2
548317,Mumbai Indians,197,6
548317,Rajasthan Royals,170,10
548318,Chennai Super Kings,208,5
548318,Royal Challengers Bangalore,205,8
548319,Kings XI Punjab,116,3
548319,Pune Warriors,115,10
548320,Kolkata Knight Riders,137,5
548320,Rajasthan Royals,131,5
548321,Deccan Chargers,157,8
548321,Delhi Daredevils,162,5
548322,Chennai Super Kings,155,5
548322,Pune Warriors,156,3
548323,Kings XI Punjab,134,9
548323,Kolkata Knight Riders,132,7
548324,Rajasthan Royals,195,2
548324,Royal Challengers Bangalore,136,10
548325,Delhi Daredevils,93,3
548325,Mumbai Indians,92,10
548326,Deccan Chargers,196,2
548326,Rajasthan Royals,197,5
548327,Pune Warriors,182,6
548327,Royal Challengers Bangalore,186,4
548328,Kings XI Punjab,124,7
548328,Kolkata Knight Riders,127,2
548329,Deccan Chargers,187,4
548329,Delhi Daredevils,193,1
548330,Chennai Super Kings,164,5
548330,Pune Warriors,151,7
548331,Kings XI Punjab,163,6
548331,Royal Challengers Bangalore,166,5
548332,Chennai Super Kings,147,3
548332,Rajasthan Royals,146,4
548333,Delhi Daredevils,172,7
548333,Pune Warriors,192,3
548334,Kings XI Punjab,164,4
548334,Mumbai Indians,163,6
548335,Deccan Chargers,126,7
548335,Kolkata Knight Riders,127,5
548336,Rajasthan Royals,143,7
548336,Royal Challengers Bangalore,189,3
548337,Delhi Daredevils,148,2
548337,Pune Warriors,146,2
548339,Kings XI Punjab,168,3
548339,Mumbai Indians,171,6
548341,Deccan Chargers,177,4
548341,Pune Warriors,159,7
548342,Delhi Daredevils,207,5
548342,Mumbai Indians,170,9
548343,Chennai Super Kings,149,8
548343,Kings XI Punjab,156,8
548344,Kolkata Knight Riders,190,4
548344,Royal Challengers Bangalore,143,6
548345,Delhi Daredevils,152,6
548345,Rajasthan Royals,151,3
548346,Deccan Chargers,100,10
548346,Mumbai Indians,101,5
548347,Chennai Super Kings,139,5
548347,Kolkata Knight Riders,140,5
548348,Deccan Chargers,186,4
548348,Pune Warriors,173,5
548349,Delhi Daredevils,144,4
548349,Rajasthan Royals,141,6
548350,Kings XI Punjab,163,6
548350,Royal Challengers Bangalore,158,5
548351,Mumbai Indians,120,9
548351,Pune Warriors,119,6
548352,Chennai Super Kings,160,6
548352,Deccan Chargers,150,5
548353,Kolkata Knight Riders,150,5
548353,Pune Warriors,143,8
548354,Kings XI Punjab,134,8
548354,Rajasthan Royals,177,6
548355,Chennai Super Kings,173,8
548355,Mumbai Indians,174,8
548356,Deccan Chargers,181,2
548356,Royal Challengers Bangalore,185,5
548357,Delhi Daredevils,153,9
548357,Kolkata Knight Riders,154,4
548358,Pune Warriors,125,6
548358,Rajasthan Royals,126,3
548359,Deccan Chargers,145,8
548359,Kings XI Punjab,170,5
548360,Mumbai Indians,141,6
548360,Royal Challengers Bangalore,142,1
548361,Chennai Super Kings,127,6
548361,Rajasthan Royals,126,6
548362,Pune Warriors,138,9
548362,Royal Challengers Bangalore,173,3
548363,Kolkata Knight Riders,155,4
548363,Mumbai Indians,182,1
548364,Chennai Super Kings,115,1
548364,Delhi Daredevils,114,5
548365,Pune Warriors,125,9
548365,Rajasthan Royals,170,4
548366,Deccan Chargers,190,4
548366,Kings XI Punjab,194,6
548367,Mumbai Indians,173,5
548367,Royal Challengers Bangalore,171,6
548368,Chennai Super Kings,160,5
548368,Kolkata Knight Riders,158,6
548369,Delhi Daredevils,140,5
548369,Kings XI Punjab,136,8
548370,Kolkata Knight Riders,140,7
548370,Mumbai Indians,108,10
548371,Chennai Super Kings,120,7
548371,Kings XI Punjab,123,4
548372,Delhi Daredevils,194,9
548372,Royal Challengers Bangalore,215,1
548373,Deccan Chargers,128,5
548373,Rajasthan Royals,126,8
548374,Delhi Daredevils,145,4
548374,Kings XI Punjab,141,8
548375,Kolkata Knight Riders,136,4
548375,Pune Warriors,102,8
548376,Deccan Chargers,132,7
548376,Royal Challengers Bangalore,123,9
548377,Mumbai Indians,163,0
548377,Rajasthan Royals,162,6
548378,Delhi Daredevils,144,8
548378,Kolkata Knight Riders,162,4
548379,Chennai Super Kings,187,5
548379,Mumbai Indians,149,9
548380,Chennai Super Kings,222,5
548380,Delhi Daredevils,136,10
548381,Chennai Super Kings,190,3
548381,Kolkata Knight Riders,192,5
597998,Delhi Daredevils,128,10
597998,Kolkata Knight Riders,129,4
597999,Mumbai Indians,154,5
597999,Royal Challengers Bangalore,156,5
598000,Pune Warriors,104,10
598000,Sunrisers Hyderabad,126,6
598001,Delhi Daredevils,160,6
598001,Rajasthan Royals,165,7
598002,Chennai Super Kings,139,9
598002,Mumbai Indians,148,6
598003,Kings XI Punjab,100,2
598003,Pune Warriors,99,9
598004,Royal Challengers Bangalore,145,8
598004,Sunrisers Hyderabad,150,7
598005,Kolkata Knight Riders,125,10
598005,Rajasthan Royals,144,6
598006,Delhi Daredevils,165,9
598006,Mumbai Indians,209,5
598007,Chennai Super Kings,139,0
598007,Kings XI Punjab,138,10
598008,Kolkata Knight Riders,154,8
598008,Royal Challengers Bangalore,158,2
598009,Pune Warriors,148,3
598009,Rajasthan Royals,145,5
598010,Delhi Daredevils,114,8
598010,Sunrisers Hyderabad,115,7
598011,Mumbai Indians,183,3
598011,Pune Warriors,142,8
598012,Chennai Super Kings,166,6
598012,Royal Challengers Bangalore,165,6
598013,Kolkata Knight Riders,180,4
598013,Sunrisers Hyderabad,132,7
598014,Kings XI Punjab,124,10
598014,Rajasthan Royals,126,4
598015,Chennai Super Kings,135,8
598015,Pune Warriors,159,5
598016,Kings XI Punjab,157,9
598016,Kolkata Knight Riders,153,9
598017,Delhi Daredevils,163,7
598017,Royal Challengers Bangalore,167,7
598018,Pune Warriors,108,10
598018,Sunrisers Hyderabad,119,8
598019,Mumbai Indians,92,10
598019,Rajasthan Royals,179,3
598020,Chennai Super Kings,169,4
598020,Delhi Daredevils,83,10
598021,Kings XI Punjab,123,9
598021,Sunrisers Hyderabad,127,5
598022,Chennai Super Kings,124,6
598022,Kolkata Knight Riders,119,9
598023,Rajasthan Royals,117,10
598023,Royal Challengers Bangalore,123,3
598024,Delhi Daredevils,165,1
598024,Mumbai Indians,161,4
598025,Kings XI Punjab,186,3
598025,Pune Warriors,185,4
598026,Chennai Super Kings,186,5
598026,Rajasthan Royals,185,4
598027,Pune Warriors,133,9
598027,Royal Challengers Bangalore,263,5
598028,Delhi Daredevils,164,7
598028,Kings XI Punjab,171,4
598029,Kolkata Knight Riders,159,6
598029,Mumbai Indians,162,5
598030,Chennai Super Kings,160,5
598030,Sunrisers Hyderabad,159,6
598031,Kings XI Punjab,149,6
598031,Kolkata Knight Riders,150,4
598032,Rajasthan Royals,146,2
598032,Sunrisers Hyderabad,144,9
598033,Mumbai Indians,194,7
598033,Royal Challengers Bangalore,136,7
598034,Chennai Super Kings,200,3
598034,Kolkata Knight Riders,186,4
598035,Delhi Daredevils,164,5
598035,Pune Warriors,149,4
598036,Rajasthan Royals,173,6
598036,Royal Challengers Bangalore,171,6
598037,Kings XI Punjab,170,10
598037,Mumbai Indians,174,3
598038,Chennai Super Kings,164,3
598038,Pune Warriors,127,9
598039,Mumbai Indians,129,4
598039,Sunrisers Hyderabad,130,3
598040,Delhi Daredevils,137,3
598040,Kolkata Knight Riders,136,7
598041,Chennai Super Kings,186,4
598041,Kings XI Punjab,171,6
598042,Pune Warriors,170,9
598042,Royal Challengers Bangalore,187,3
598043,Kolkata Knight Riders,133,2
598043,Rajasthan Royals,132,6
598044,Delhi Daredevils,80,10
598044,Sunrisers Hyderabad,81,4
598045,Kings XI Punjab,176,3
598045,Royal Challengers Bangalore,174,5
598046,Chennai Super Kings,79,10
598046,Mumbai Indians,139,5
598047,Pune Warriors,178,4
598047,Rajasthan Royals,182,5
598048,Royal Challengers Bangalore,162,3
598048,Sunrisers Hyderabad,161,6
598049,Delhi Daredevils,154,4
598049,Rajasthan Royals,155,1
598050,Kolkata Knight Riders,105,10
598050,Mumbai Indians,170,6
598051,Chennai Super Kings,223,3
598051,Sunrisers Hyderabad,146,8
598052,Kings XI Punjab,145,6
598052,Rajasthan Royals,147,2
598053,Kolkata Knight Riders,152,6
598053,Pune Warriors,106,10
598054,Delhi Daredevils,179,7
598054,Royal Challengers Bangalore,183,4
598055,Mumbai Indians,116,5
598055,Pune Warriors,112,8
598056,Kings XI Punjab,120,9
598056,Sunrisers Hyderabad,150,7
598057,Kolkata Knight Riders,116,5
598057,Royal Challengers Bangalore,115,9
598058,Chennai Super Kings,141,4
598058,Rajasthan Royals,144,5
598059,Delhi Daredevils,120,7
598059,Kings XI Punjab,121,5
598060,Mumbai Indians,184,4
598060,Sunrisers Hyderabad,178,3
598061,Kolkata Knight Riders,163,7
598061,Pune Warriors,170,4
598062,Chennai Super Kings,168,4
598062,Delhi Daredevils,135,9
598063,Mumbai Indians,166,8
598063,Rajasthan Royals,152,7
598064,Kings XI Punjab,194,4
598064,Royal Challengers Bangalore,190,3
598065,Rajasthan Royals,113,9
598065,Sunrisers Hyderabad,136,9
598066,Kings XI Punjab,183,8
598066,Mumbai Indians,133,9
598067,Delhi Daredevils,134,9
598067,Pune Warriors,172,5
598068,Chennai Super Kings,82,6
598068,Royal Challengers Bangalore,106,2
598069,Kolkata Knight Riders,130,7
598069,Sunrisers Hyderabad,132,5
598070,Chennai Super Kings,192,1
598070,Mumbai Indians,144,10
598071,Rajasthan Royals,135,6
598071,Sunrisers Hyderabad,132,7
598072,Mumbai Indians,169,6
598072,Rajasthan Royals,165,6
598073,Chennai Super Kings,125,9
598073,Mumbai Indians,148,9
729279,Kolkata Knight Riders,163,5
729279,Mumbai Indians,122,7
729281,Delhi Daredevils,145,4
729281,Royal Challengers Bangalore,146,2
729283,Chennai Super Kings,205,4
729283,Kings XI Punjab,206,4
729285,Rajasthan Royals,135,6
